FindingId,Severity,Repository,FileOrArea,SymbolOrUse,CurrentAuthority,ClassifiedMeaning,TargetAuthority,RequiredAction,RecommendedCut,QARequired,Notes
IF-ID-A08,High,com.immersive.framework,Runtime/ApplicationLifecycle/FrameworkRuntimeHost.cs,CurrentRoute.HasSameIdentity(targetRoute),Stable ID,Definition reference,RouteAsset reference equality,Include in coordinated Route migration,IF-ID-03,"host sync with colliding Route IDs",Must not remain old authority after RouteLifecycle changes
IF-ID-P01,Positive,com.immersive.framework,Runtime/GameFlow/RouteRequestTrigger.cs,targetRoute request,Typed RouteAsset reference,Definition reference,Typed RouteAsset reference,Preserve,N/A,"public authoring request carries exact reference",No trigger redesign needed
IF-ID-P01,Positive,com.immersive.framework,Runtime/GameFlow/ActivityRequestTrigger.cs,targetActivity request,Typed ActivityAsset reference,Definition reference,Typed ActivityAsset reference,Preserve,N/A,"public authoring request carries exact reference",No trigger redesign needed
IF-ID-P02,Positive,com.immersive.framework,Runtime/RouteLifecycle/RouteRuntimeState.cs,Route plus identity key,Reference and stable key,Definition reference plus boundary evidence,Reference authoritative; stable key diagnostic/boundary,Clarify authority in docs and callers,IF-ID-03,"state retains exact Route reference",Good migration foundation
IF-ID-P02,Positive,com.immersive.framework,Runtime/ActivityFlow/ActivityRuntimeState.cs,Activity/previous Activity plus identity,Reference and stable key,Definition reference plus boundary evidence,Reference authoritative; stable key diagnostic/boundary,Clarify authority in docs and callers,IF-ID-04,"state retains exact Activity references",Good migration foundation
IF-ID-P04,Positive,com.immersive.framework,Runtime/Authoring/RouteId.cs,Typed stable ID,Stable ID,Stable boundary identity,Typed RouteId,Preserve,N/A,"validation/equality of RouteId itself",ADR does not remove stable IDs
IF-ID-P04,Positive,com.immersive.framework,Runtime/Authoring/ActivityId.cs,Typed stable ID,Stable ID,Stable boundary identity,Typed ActivityId,Preserve,N/A,"validation/equality of ActivityId itself",ADR does not remove stable IDs
IF-ID-A06,Critical,com.immersive.framework,Runtime/RuntimeContent/RuntimeContentOwner.cs,Owner equality,Scope plus stable framework key,Operational ownership,Explicit owner lifetime/occurrence contract,Design and migrate deliberately,IF-ID-05,"acquire/release with same ID distinct refs; restart/reentry",Type is coherent but current inputs can collide operationally
IF-ID-A10,High,com.immersive.framework,Editor/Authoring/RouteAssetEditor.cs,Inspector validation,Local validation plus global project audit,Validation scope,Selected-definition local validation,Separate scopes and deep links,IF-ID-06,"unrelated project collision must not block selected Route",Product correctness issue
IF-ID-A10,High,com.immersive.framework,Editor/Authoring/ActivityAssetEditor.cs,Inspector validation,Local validation plus global project audit,Validation scope,Selected-definition local validation,Separate scopes and deep links,IF-ID-06,"unrelated project collision must not block selected Activity",Product correctness issue
IF-ID-P05,Positive,com.immersive.framework,Editor/Authoring/ActivityIdAuthoringValidator.cs,ValidateProjectAssets,Project-wide scan,Project audit,Project identity audit,Retain but stop merging into local blocking status,IF-ID-06,"global duplicate report with scope labeling",Existing capability should be repositioned
IF-ID-A11,Medium,com.immersive.framework,Editor/Authoring/RouteAssetEditor.cs,Stable ID remediation,Generate if empty / copy,Product UX,Explicit regenerate-existing-ID operation,Add confirmation diagnostics and validation refresh,IF-ID-06,"duplicate then regenerate Route ID",Regenerate action not identified in inspected editor
IF-ID-A11,Medium,com.immersive.framework,Editor/Authoring/ActivityAssetEditor.cs,Stable ID remediation,Generate if empty / copy,Product UX,Explicit regenerate-existing-ID operation,Add confirmation diagnostics and validation refresh,IF-ID-06,"duplicate then regenerate Activity ID",Regenerate action not identified in inspected editor
IF-ID-A12,Deferred,com.immersive.framework,Runtime/ProgressionSave,Route/Activity ID resolver,Absent/deferred,Stable boundary identity,Explicit Game Application-scoped catalog,Implement only for a real persistence/integration use case,IF-ID-07,"resolved/not found/ambiguous/outside scope",Not an immediate defect
IF-ID-A13,Critical,rinnocenti/QAFramework,Current QA identity coverage,Dedicated proof not identified,Not identified,QA evidence,Focused collision/equality/ownership/readiness matrix,Create canonical smokes after QA reorganization,IF-ID-02 through IF-ID-06,"full matrix listed in audit",Static tree inspection is not proof that no incidental test exists
IF-ID-A14,High,planet-devourer,FIRSTGAME identity workflow,Not yet demonstrated,Not demonstrated,Consumer product proof,Package-backed duplication/collision/regeneration workflow,Add only after package and QA contracts stabilize,IF-ID-08,"real authoring and runtime flow",FIRSTGAME must not own permanent identity contracts
IF-ID-R01,Medium,com.immersive.framework,Runtime/ActivityFlow/ActivityFlowRuntime.cs,CreateRouteInstanceId,Stable Route ID plus sequence,Runtime occurrence / diagnostic key,Explicit documented runtime instance identity,Review after Route migration,IF-ID-05,"same-ID distinct Route refs and multiple entries",May be valid if scoped and collision-safe; requires decision
IF-ID-R02,Medium,com.immersive.framework,Diagnostics/display paths,RouteName/ActivityName,Display names,Presentation,Display name only,Preserve and ensure never used as fallback,N/A,"missing ID diagnostics do not select by name",Generally correct in inspected paths
